claim	article_url	video_url	autres_candidats
Cette vidéo montre comment les vaccins anti-Covid provoquent la coagulation du sang en rendant les globules ro	https://factuel.afp.com/doc.afp.com.337W2ZM	https://www.facebook.com/100022298869995/videos/562376932437228	https://www.youtube.com/watch?v=9SeXhQ8UUBU; https://www.youtube.com/embed/9SeXhQ8UUBU
Cette vidéo montre un hélicoptère américain abattu par l'Iran	https://factuel.afp.com/doc.afp.com.A6X99ZQ	https://www.youtube.com/watch?v=gH8psShid8g	https://www.youtube.com/watch?v=DSnD0VODR7M; https://www.youtube.com/shorts/imwS9LeqXjk; https://www.tiktok.com/@alertinfo4/video/7624589640930020630
Cette vidéo montre l'eau d'une piscine se déverser dans le quartier chinois de Bangkok après le récent séisme 	https://dpa-factchecking.com/switzerland/250403-99-421563	https://twitter.com/RecordGBA/status/1905523524510654803	https://www.instagram.com/reel/DHvUigbszMO; https://www.youtube.com/watch?v=l9gr2PULto0
Une vidéo d’une durée de 141 ans a-t-elle été postée sur YouTube ?	https://www.20minutes.fr/societe/4196338-20260119-video-duree-141-ans-postee-youtube-prudence	https://x.com/_3emeOeil/status/2010997488577028100	https://www.youtube.com/watch?v=ny2S_jYomUw; https://www.youtube.com/watch?v=865S1zMcWMo
La vidéo montre la nouvelle miss météo suédoise, une femme voilée	https://factuel.afp.com/doc.afp.com.89RA4WE	https://www.youtube.com/watch?v=w6tpIBHhZLw	https://www.youtube.com/watch?v=s2LgYT9Mz4o; https://www.youtube.com/embed/s2LgYT9Mz4o
Une vidéo virale montrerait une jeune femme en France, harcelée dans un parc par deux étrangers	https://www.tf1info.fr/societe/attention-a-cette-video-detournee-qui-pretend-montrer-une-femme-harcelee-par-des-migrants-en-france-2320730.html	https://x.com/lereveildatlas/status/1836789912181309466	https://www.instagram.com/reel/C9aI58AMbiY; https://www.instagram.com/reel/C9SrALTMLWy
Une vidéo montre le bombardement de la prison d'Evin à Téhéran	https://www.tf1info.fr/international/verif-explosion-de-la-porte-de-la-prison-d-evin-enquete-sur-une-video-qui-a-trompe-le-monde-entier-2379618.html	https://x.com/talhagin/status/1937155330795814914	
Une vidéo de métro suspendu montre la supériorité technologique de la Chine	https://www.tf1info.fr/international/verif-ce-metro-suspendu-lance-en-chine-met-il-vraiment-une-claque-technologique-aux-pays-occidentaux-2356569.html	https://x.com/_IDVL/status/1893326880377385072	
La guerre civile éclate en Grèce. Le peuple grec veut changer la politique du gouvernement sur l'Ukraine, comm	https://dpa-factchecking.com/belgium/250317-99-250844	https://www.youtube.com/watch?v=U1K47LxJlG4	https://www.facebook.com/pascal.vantemsche/videos/3580636152229571; https://www.youtube.com/watch?v=34-KlYgFgpk; https://twitter.com/PhoneixReloaded/status/1898449743019421880
Plus de 2,4 millions d'effets secondaires des vaccins contre le Covid-19, selon les données de l'OMS.	https://dpa-factchecking.com/belgium/211122-99-98736	https://www.youtube.com/watch?v=1DgGuRcZt58	
